season,window,league,club,club_key,club_shirt_no,position_primary,is_star,name_en,birth_date,height_cm,snapshot_date,name_ja,nationality,foot,join_date,prev_club,contract_until,source,notes,league_key
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,15,MF,,Odin Holm,2003/1/18,175,2026/2/7,Odin Holm,Norway,右,2023/7/1,ヴォレレンガ・フォトバル,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,32,MF,,Joel Mvuka,2002/11/12,176,2026/2/7,Joel Mvuka,Norway,右,2026/2/2,FCロリアン,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,38,FW,,Daizen Maeda,1997/10/20,173,2026/2/7,Daizen Maeda,Japan,右,2022/7/1,横浜F・マリノス,2027/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,7,FW,,Jota,1999/3/30,176,2026/2/7,Jota,Portugal,右,2025/1/27,スタッド・レンヌ,2030/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,10,FW,,Michel-Ange Balikwisha,2001/5/10,178,2026/2/7,Michel-Ange Balikwisha,DR Congo / Belgium,右,2025/8/28,ロイヤル・アントワープFC,,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,23,FW,,Sebastian Tounekti,2002/7/13,170,2026/2/7,Sebastian Tounekti,Tunisia / Norway,右,2025/9/1,ハンマルビーIF,2030/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,8,FW,,Benjamin Nygren,2001/7/8,188,2026/2/7,Benjamin Nygren,Sweden,左,2025/7/1,FCノアシェラン,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,13,FW,,Hyun-jun Yang,2002/5/25,176,2026/2/7,Hyun-jun Yang,"Korea, South",右,2023/7/15,江原FC,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,49,FW,,James Forrest,1991/7/7,175,2026/2/7,James Forrest,Scotland,右,2010/7/1,Celtic Glasgow U20,2026/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,9,FW,,Junior Adamu,2001/6/6,183,2026/2/7,Junior Adamu,Austria,右,2026/2/2,SCフライブルク,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,17,FW,,Kelechi Iheanacho,1996/10/3,185,2026/2/7,Kelechi Iheanacho,Nigeria,左,2025/9/2,セビージャ FC,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,11,FW,,Tomas Cvancara,2000/8/13,190,2026/2/7,Tomas Cvancara,Czech Republic,右,2026/1/22,ボルシア・メンヒェングラートバッハ,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,19,FW,,Callum Osmand,2005/11/8,179,2026/2/7,Callum Osmand,England / Jersey,右,2025/7/1,Fulham FC U21,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
