tournament,edition,stage,group,slot,country_name_ja,country_key,route_param,is_placeholder,placeholder_code,source_note,rank,played,w,d,l,gf,ga,gd,pts
WC,2018,group,C,4,オーストラリア,オーストラリア,オーストラリア,0,,FIFA公式結果ベース,4,3,0,1,2,2,5,-3,1
WC,2018,group,D,1,クロアチア,クロアチア,クロアチア,0,,FIFA公式結果ベース,1,3,3,0,0,7,1,6,9
WC,2018,group,D,2,アルゼンチン,アルゼンチン,アルゼンチン,0,,FIFA公式結果ベース,2,3,1,1,1,3,5,-2,4
WC,2018,group,D,3,ナイジェリア,ナイジェリア,ナイジェリア,0,,FIFA公式結果ベース,3,3,1,0,2,3,4,-1,3
WC,2018,group,D,4,アイスランド,アイスランド,アイスランド,0,,FIFA公式結果ベース,4,3,0,1,2,2,5,-3,1
WC,2018,group,E,1,ブラジル,ブラジル,ブラジル,0,,FIFA公式結果ベース,1,3,2,1,0,5,1,4,7
WC,2018,group,E,2,スイス,スイス,スイス,0,,FIFA公式結果ベース,2,3,1,2,0,5,4,1,5
WC,2018,group,E,3,セルビア,セルビア,セルビア,0,,FIFA公式結果ベース,3,3,1,0,2,2,4,-2,3
WC,2018,group,E,4,コスタリカ,コスタリカ,コスタリカ,0,,FIFA公式結果ベース,4,3,0,1,2,2,5,-3,1
WC,2018,group,F,1,スウェーデン,スウェーデン,スウェーデン,0,,FIFA公式結果ベース,1,3,2,0,1,5,2,3,6
WC,2018,group,F,2,メキシコ,メキシコ,メキシコ,0,,FIFA公式結果ベース,2,3,2,0,1,3,4,-1,6
WC,2018,group,F,3,韓国,韓国,韓国,0,,FIFA公式結果ベース,3,3,1,0,2,3,3,0,3
WC,2018,group,F,4,ドイツ,ドイツ,ドイツ,0,,FIFA公式結果ベース,4,3,1,0,2,2,4,-2,3
WC,2018,group,G,1,ベルギー,ベルギー,ベルギー,0,,FIFA公式結果ベース,1,3,3,0,0,9,2,7,9
WC,2018,group,G,2,イングランド,イングランド,イングランド,0,,FIFA公式結果ベース,2,3,2,0,1,8,3,5,6
WC,2018,group,G,3,チュニジア,チュニジア,チュニジア,0,,FIFA公式結果ベース,3,3,1,0,2,5,8,-3,3
WC,2018,group,G,4,パナマ,パナマ,パナマ,0,,FIFA公式結果ベース,4,3,0,0,3,2,11,-9,0
WC,2018,group,H,1,コロンビア,コロンビア,コロンビア,0,,FIFA公式結果ベース,1,3,2,0,1,5,2,3,6
WC,2018,group,H,2,日本,日本,日本,0,,FIFA公式結果ベース,2,3,1,1,1,4,4,0,4
WC,2018,group,H,3,セネガル,セネガル,セネガル,0,,FIFA公式結果ベース,3,3,1,1,1,4,4,0,4
WC,2018,group,H,4,ポーランド,ポーランド,ポーランド,0,,FIFA公式結果ベース,4,3,1,0,2,2,5,-3,3
,,,,,,,,,,,,,,,,,,,
WC,2014,group,A,1,ブラジル,ブラジル,ブラジル,0,,FIFA公式結果ベース,1,3,2,1,0,7,2,5,7
WC,2014,group,A,2,メキシコ,メキシコ,メキシコ,0,,FIFA公式結果ベース,2,3,2,1,0,4,1,3,7
WC,2014,group,A,3,クロアチア,クロアチア,クロアチア,0,,FIFA公式結果ベース,3,3,1,0,2,6,6,0,3
WC,2014,group,A,4,カメルーン,カメルーン,カメルーン,0,,FIFA公式結果ベース,4,3,0,0,3,2,10,-8,0
WC,2014,group,B,1,オランダ,オランダ,オランダ,0,,FIFA公式結果ベース,1,3,3,0,0,10,3,7,9
WC,2014,group,B,2,チリ,チリ,チリ,0,,FIFA公式結果ベース,2,3,2,0,1,5,3,2,6
WC,2014,group,B,3,スペイン,スペイン,スペイン,0,,FIFA公式結果ベース,3,3,1,0,2,4,7,-3,3
WC,2014,group,B,4,オーストラリア,オーストラリア,オーストラリア,0,,FIFA公式結果ベース,4,3,0,0,3,3,9,-6,0
WC,2014,group,C,1,コロンビア,コロンビア,コロンビア,0,,FIFA公式結果ベース,1,3,3,0,0,9,2,7,9
WC,2014,group,C,2,ギリシャ,ギリシャ,ギリシャ,0,,FIFA公式結果ベース,2,3,1,1,1,2,4,-2,4
WC,2014,group,C,3,コートジボワール,コートジボワール,コートジボワール,0,,FIFA公式結果ベース,3,3,1,0,2,4,5,-1,3
WC,2014,group,C,4,日本,日本,日本,0,,FIFA公式結果ベース,4,3,0,1,2,2,6,-4,1
WC,2014,group,D,1,コスタリカ,コスタリカ,コスタリカ,0,,FIFA公式結果ベース,1,3,2,1,0,4,1,3,7
WC,2014,group,D,2,ウルグアイ,ウルグアイ,ウルグアイ,0,,FIFA公式結果ベース,2,3,2,0,1,4,4,0,6
WC,2014,group,D,3,イタリア,イタリア,イタリア,0,,FIFA公式結果ベース,3,3,1,0,2,2,3,-1,3
WC,2014,group,D,4,イングランド,イングランド,イングランド,0,,FIFA公式結果ベース,4,3,0,1,2,2,4,-2,1
WC,2014,group,E,1,フランス,フランス,フランス,0,,FIFA公式結果ベース,1,3,2,1,0,8,2,6,7
WC,2014,group,E,2,スイス,スイス,スイス,0,,FIFA公式結果ベース,2,3,2,0,1,7,6,1,6
WC,2014,group,E,3,エクアドル,エクアドル,エクアドル,0,,FIFA公式結果ベース,3,3,1,1,1,3,3,0,4
WC,2014,group,E,4,ホンジュラス,ホンジュラス,ホンジュラス,0,,FIFA公式結果ベース,4,3,0,0,3,1,8,-7,0
WC,2014,group,F,1,アルゼンチン,アルゼンチン,アルゼンチン,0,,FIFA公式結果ベース,1,3,3,0,0,6,3,3,9
WC,2014,group,F,2,ナイジェリア,ナイジェリア,ナイジェリア,0,,FIFA公式結果ベース,2,3,1,1,1,3,3,0,4
WC,2014,group,F,3,ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴビナ,0,,FIFA公式結果ベース,3,3,1,0,2,4,4,0,3
WC,2014,group,F,4,イラン,イラン,イラン,0,,FIFA公式結果ベース,4,3,0,1,2,1,4,-3,1
WC,2014,group,G,1,ドイツ,ドイツ,ドイツ,0,,FIFA公式結果ベース,1,3,2,1,0,7,2,5,7
WC,2014,group,G,2,アメリカ,アメリカ,アメリカ,0,,FIFA公式結果ベース,2,3,1,1,1,4,4,0,4
WC,2014,group,G,3,ポルトガル,ポルトガル,ポルトガル,0,,FIFA公式結果ベース,3,3,1,1,1,4,7,-3,4
WC,2014,group,G,4,ガーナ,ガーナ,ガーナ,0,,FIFA公式結果ベース,4,3,0,1,2,4,6,-2,1
WC,2014,group,H,1,ベルギー,ベルギー,ベルギー,0,,FIFA公式結果ベース,1,3,3,0,0,4,1,3,9
WC,2014,group,H,2,アルジェリア,アルジェリア,アルジェリア,0,,FIFA公式結果ベース,2,3,1,1,1,6,5,1,4
WC,2014,group,H,3,ロシア,ロシア,ロシア,0,,FIFA公式結果ベース,3,3,0,2,1,2,3,-1,2
WC,2014,group,H,4,韓国,韓国,韓国,0,,FIFA公式結果ベース,4,3,0,1,2,3,6,-3,1
WC,2010,group,A,1,南アフリカ,South Africa,south-africa,0,,FIFA公式結果ベース,3,3,1,1,1,3,5,-2,4
WC,2010,group,A,2,メキシコ,Mexico,mexico,0,,FIFA公式結果ベース,2,3,1,1,1,3,2,1,4
WC,2010,group,A,3,ウルグアイ,Uruguay,uruguay,0,,FIFA公式結果ベース,1,3,2,1,0,4,0,4,7
WC,2010,group,A,4,フランス,France,france,0,,FIFA公式結果ベース,4,3,0,1,2,1,4,-3,1
WC,2010,group,B,1,アルゼンチン,Argentina,argentina,0,,FIFA公式結果ベース,1,3,3,0,0,7,1,6,9
WC,2010,group,B,2,韓国,South Korea,south-korea,0,,FIFA公式結果ベース,2,3,1,1,1,5,6,-1,4
WC,2010,group,B,3,ギリシャ,Greece,greece,0,,FIFA公式結果ベース,3,3,1,0,2,2,5,-3,3
WC,2010,group,B,4,ナイジェリア,Nigeria,nigeria,0,,FIFA公式結果ベース,4,3,0,1,2,3,5,-2,1
WC,2010,group,C,1,イングランド,England,england,0,,FIFA公式結果ベース,2,3,1,2,0,2,1,1,5
WC,2010,group,C,2,アメリカ,USA,usa,0,,FIFA公式結果ベース,1,3,1,2,0,4,3,1,5
WC,2010,group,C,3,アルジェリア,Algeria,algeria,0,,FIFA公式結果ベース,4,3,0,1,2,0,2,-2,1
WC,2010,group,C,4,スロベニア,Slovenia,slovenia,0,,FIFA公式結果ベース,3,3,1,1,1,3,3,0,4
WC,2010,group,D,1,ドイツ,Germany,germany,0,,FIFA公式結果ベース,1,3,2,0,1,5,1,4,6
WC,2010,group,D,2,ガーナ,Ghana,ghana,0,,FIFA公式結果ベース,2,3,1,1,1,2,2,0,4
WC,2010,group,D,3,セルビア,Serbia,serbia,0,,FIFA公式結果ベース,4,3,1,0,2,2,3,-1,3
WC,2010,group,D,4,オーストラリア,Australia,australia,0,,FIFA公式結果ベース,3,3,1,1,1,3,6,-3,4
WC,2010,group,E,1,オランダ,Netherlands,netherlands,0,,FIFA公式結果ベース,1,3,3,0,0,5,1,4,9
WC,2010,group,E,2,日本,Japan,japan,0,,FIFA公式結果ベース,2,3,2,0,1,4,2,2,6
WC,2010,group,E,3,デンマーク,Denmark,denmark,0,,FIFA公式結果ベース,3,3,1,0,2,3,6,-3,3
WC,2010,group,E,4,カメルーン,Cameroon,cameroon,0,,FIFA公式結果ベース,4,3,0,0,3,2,5,-3,0
WC,2010,group,F,1,パラグアイ,Paraguay,paraguay,0,,FIFA公式結果ベース,1,3,1,2,0,3,1,2,5
WC,2010,group,F,2,スロバキア,Slovakia,slovakia,0,,FIFA公式結果ベース,2,3,1,1,1,4,5,-1,4
WC,2010,group,F,3,ニュージーランド,New Zealand,new-zealand,0,,FIFA公式結果ベース,3,3,0,3,0,2,2,0,3
WC,2010,group,F,4,イタリア,Italy,italy,0,,FIFA公式結果ベース,4,3,0,2,1,4,5,-1,2
WC,2010,group,G,1,ブラジル,Brazil,brazil,0,,FIFA公式結果ベース,1,3,2,1,0,5,2,3,7
WC,2010,group,G,2,ポルトガル,Portugal,portugal,0,,FIFA公式結果ベース,2,3,1,2,0,7,0,7,5
WC,2010,group,G,3,コートジボワール,Ivory Coast,ivory-coast,0,,FIFA公式結果ベース,3,3,1,1,1,4,3,1,4
WC,2010,group,G,4,北朝鮮,North Korea,north-korea,0,,FIFA公式結果ベース,4,3,0,0,3,1,12,-11,0
WC,2010,group,H,1,スペイン,Spain,spain,0,,FIFA公式結果ベース,1,3,2,0,1,4,2,2,6
WC,2010,group,H,2,チリ,Chile,chile,0,,FIFA公式結果ベース,2,3,2,0,1,3,2,1,6
WC,2010,group,H,3,スイス,Switzerland,switzerland,0,,FIFA公式結果ベース,3,3,1,1,1,1,1,0,4
WC,2010,group,H,4,ホンジュラス,Honduras,honduras,0,,FIFA公式結果ベース,4,3,0,1,2,0,3,-3,1
WC,2006,group,A,1,ドイツ,Germany,germany,0,,FIFA公式結果ベース,1,3,3,0,0,8,2,6,9
WC,2006,group,A,2,エクアドル,Ecuador,ecuador,0,,FIFA公式結果ベース,2,3,2,0,1,5,4,1,6
WC,2006,group,A,3,ポーランド,Poland,poland,0,,FIFA公式結果ベース,3,3,1,0,2,2,4,-2,3
WC,2006,group,A,4,コスタリカ,Costa Rica,costa-rica,0,,FIFA公式結果ベース,4,3,0,0,3,3,8,-5,0
WC,2006,group,B,1,イングランド,England,england,0,,FIFA公式結果ベース,1,3,2,1,0,5,2,3,7
WC,2006,group,B,2,スウェーデン,Sweden,sweden,0,,FIFA公式結果ベース,2,3,1,2,0,3,2,1,5
WC,2006,group,B,3,パラグアイ,Paraguay,paraguay,0,,FIFA公式結果ベース,3,3,1,0,2,2,2,0,3
WC,2006,group,B,4,トリニダード・トバゴ,Trinidad and Tobago,trinidad-and-tobago,0,,FIFA公式結果ベース,4,3,0,1,2,0,4,-4,1
WC,2006,group,C,1,アルゼンチン,Argentina,argentina,0,,FIFA公式結果ベース,1,3,2,1,0,8,1,7,7
WC,2006,group,C,2,オランダ,Netherlands,netherlands,0,,FIFA公式結果ベース,2,3,2,1,0,3,1,2,7
WC,2006,group,C,3,コートジボワール,Ivory Coast,ivory-coast,0,,FIFA公式結果ベース,3,3,1,0,2,5,6,-1,3
WC,2006,group,C,4,セルビア・モンテネグロ,Serbia and Montenegro,serbia-and-montenegro,0,,FIFA公式結果ベース,4,3,0,0,3,2,10,-8,0
WC,2006,group,D,1,ポルトガル,Portugal,portugal,0,,FIFA公式結果ベース,1,3,3,0,0,5,1,4,9
WC,2006,group,D,2,メキシコ,Mexico,mexico,0,,FIFA公式結果ベース,2,3,1,1,1,4,3,1,4
WC,2006,group,D,3,アンゴラ,Angola,angola,0,,FIFA公式結果ベース,3,3,0,2,1,1,2,-1,2
WC,2006,group,D,4,イラン,Iran,iran,0,,FIFA公式結果ベース,4,3,0,1,2,2,6,-4,1
WC,2006,group,E,1,イタリア,Italy,italy,0,,FIFA公式結果ベース,1,3,2,1,0,5,1,4,7
WC,2006,group,E,2,ガーナ,Ghana,ghana,0,,FIFA公式結果ベース,2,3,2,0,1,4,3,1,6
WC,2006,group,E,3,チェコ,Czech Republic,czech-republic,0,,FIFA公式結果ベース,3,3,1,0,2,3,4,-1,3
WC,2006,group,E,4,アメリカ,United States,united-states,0,,FIFA公式結果ベース,4,3,0,1,2,2,6,-4,1
WC,2006,group,F,1,ブラジル,Brazil,brazil,0,,FIFA公式結果ベース,1,3,3,0,0,7,1,6,9
WC,2006,group,F,2,オーストラリア,Australia,australia,0,,FIFA公式結果ベース,2,3,1,1,1,5,5,0,4
WC,2006,group,F,3,クロアチア,Croatia,croatia,0,,FIFA公式結果ベース,3,3,0,2,1,2,3,-1,2
WC,2006,group,F,4,日本,Japan,japan,0,,FIFA公式結果ベース,4,3,0,1,2,2,7,-5,1
WC,2006,group,G,1,スイス,Switzerland,switzerland,0,,FIFA公式結果ベース,1,3,2,1,0,4,0,4,7
WC,2006,group,G,2,フランス,France,france,0,,FIFA公式結果ベース,2,3,1,2,0,3,1,2,5
WC,2006,group,G,3,韓国,South Korea,south-korea,0,,FIFA公式結果ベース,3,3,1,1,1,3,4,-1,4
WC,2006,group,G,4,トーゴ,Togo,togo,0,,FIFA公式結果ベース,4,3,0,0,3,1,6,-5,0
WC,2006,group,H,1,スペイン,Spain,spain,0,,FIFA公式結果ベース,1,3,3,0,0,8,1,7,9
WC,2006,group,H,2,ウクライナ,Ukraine,ukraine,0,,FIFA公式結果ベース,2,3,2,0,1,5,4,1,6
WC,2006,group,H,3,チュニジア,Tunisia,tunisia,0,,FIFA公式結果ベース,3,3,0,1,2,3,6,-3,1
WC,2006,group,H,4,サウジアラビア,Saudi Arabia,saudi-arabia,0,,FIFA公式結果ベース,4,3,0,1,2,2,8,-6,1
WC,2002,group,A,1,デンマーク,Denmark,denmark,0,,FIFA公式結果ベース,1,3,2,1,0,5,2,3,7
WC,2002,group,A,2,セネガル,Senegal,senegal,0,,FIFA公式結果ベース,2,3,1,2,0,5,4,1,5
WC,2002,group,A,3,ウルグアイ,Uruguay,uruguay,0,,FIFA公式結果ベース,3,3,0,2,1,4,5,-1,2
WC,2002,group,A,4,フランス,France,france,0,,FIFA公式結果ベース,4,3,0,1,2,0,3,-3,1
WC,2002,group,B,1,スペイン,Spain,spain,0,,FIFA公式結果ベース,1,3,3,0,0,9,4,5,9
WC,2002,group,B,2,パラグアイ,Paraguay,paraguay,0,,FIFA公式結果ベース,2,3,1,1,1,6,6,0,4
WC,2002,group,B,4,南アフリカ,South Africa,south-africa,0,,FIFA公式結果ベース,3,3,1,1,1,5,5,0,4
WC,2002,group,B,3,スロベニア,Slovenia,slovenia,0,,FIFA公式結果ベース,4,3,0,0,3,2,7,-5,0
WC,2002,group,C,1,ブラジル,Brazil,brazil,0,,FIFA公式結果ベース,1,3,3,0,0,11,3,8,9
WC,2002,group,C,2,トルコ,Turkey,turkey,0,,FIFA公式結果ベース,2,3,1,1,1,5,3,2,4
WC,2002,group,C,3,コスタリカ,Costa Rica,costa-rica,0,,FIFA公式結果ベース,3,3,1,1,1,5,6,-1,4
WC,2002,group,C,4,中国,China,china,0,,FIFA公式結果ベース,4,3,0,0,3,0,9,-9,0
WC,2002,group,D,1,韓国,South Korea,south-korea,0,,FIFA公式結果ベース,1,3,2,1,0,4,2,2,7
WC,2002,group,D,2,アメリカ,United States,united-states,0,,FIFA公式結果ベース,2,3,1,1,1,5,6,-1,4
WC,2002,group,D,3,ポルトガル,Portugal,portugal,0,,FIFA公式結果ベース,3,3,1,0,2,6,4,2,3
WC,2002,group,D,4,ポーランド,Poland,poland,0,,FIFA公式結果ベース,4,3,1,0,2,3,6,-3,3
WC,2002,group,E,1,ドイツ,Germany,germany,0,,FIFA公式結果ベース,1,3,2,1,0,11,1,10,7
WC,2002,group,E,2,アイルランド,Republic of Ireland,republic-of-ireland,0,,FIFA公式結果ベース,2,3,1,2,0,5,2,3,5
WC,2002,group,E,3,カメルーン,Cameroon,cameroon,0,,FIFA公式結果ベース,3,3,1,1,1,2,3,-1,4
WC,2002,group,E,4,サウジアラビア,Saudi Arabia,saudi-arabia,0,,FIFA公式結果ベース,4,3,0,0,3,0,12,-12,0
WC,2002,group,F,1,スウェーデン,Sweden,sweden,0,,FIFA公式結果ベース,1,3,1,2,0,4,3,1,5
WC,2002,group,F,2,イングランド,England,england,0,,FIFA公式結果ベース,2,3,1,2,0,2,1,1,5
WC,2002,group,F,3,アルゼンチン,Argentina,argentina,0,,FIFA公式結果ベース,3,3,1,1,1,2,2,0,4
WC,2002,group,F,4,ナイジェリア,Nigeria,nigeria,0,,FIFA公式結果ベース,4,3,0,1,2,1,3,-2,1
WC,2002,group,G,1,メキシコ,Mexico,mexico,0,,FIFA公式結果ベース,1,3,2,1,0,4,2,2,7
