country,decade,player1,player2,player3,player4,player5,player6,player7,
egypt,2020,オマル・マルムシュ,,,,,,,
ghana,1990,アベディ・ペレ,アンソニー・イエボア,,,,,,
ghana,2000,サミュエル・クフォー,スティーヴン・アッピアー,マイケル・エッシェン,サリー・ムンタリ,,,,
ghana,2010,アサモア・ギャン,アンドレ・アイェウ,ケヴィン＝プリンス・ボアテング,クワドォー・アサモア,,,,
ghana,2020,トーマス・パルティ,モハメド・クドゥス,アントワーヌ・セメニョ,,,,,
senegal,2000,エル＝ハジ・ディウフ,パパ・ブバ・ディオプ,アンリ・カマラ,ハリル・ファディガ,,,,
senegal,2010,サディオ・マネ,カリドゥ・クリバリ,イドリッサ・ゲイェ,,,,,
senegal,2020,イスマイラ・サール,エドゥアール・メンディ,ニコラ・ジャクソン,,,,,
south-africa,1990,ルーカス・ラデベ,マーク・フィッシュ,フィル・マシンガ,,,,,
south-africa,2000,ベネディクト・マッカーシー,スティーヴン・ピーナール,アーロン・モコエナ,,,,,
south-africa,2010,シフィウェ・チャバララ,,,,,,,
south-africa,2020,,,,,,,,
tunisia,2000,ラディ・ジャイディ,ハテム・トラベルシ,フランシレウド・サントス,,,,,
tunisia,2010,ユセフ・ムサクニ,ワフビ・ハズリ,,,,,,
tunisia,2020,エリス・スキリ,,,,,,,
mali,2000,フレデリック・カヌーテ,セイドゥ・ケイタ,マハマドゥ・ディアラ,モハメド・シソコ,,,,
mali,2020,イヴ・ビスマ,アマドゥ・ハイダラ,,,,,,
dr-congo,2000,シャバニ・ノンダ,ロマナ・ルアルア,,,,,,
dr-congo,2010,シャンセル・ムベンバ,ヤニック・ボラシエ,セドリック・バカンブ,,,,,
dr-congo,2020,アーロン・ワン＝ビサカ,ヨアン・ウィサ,,,,,,
liberia,1990,ジョージ・ウェア,,,,,,,
togo,2000,エマニュエル・アデバヨール,,,,,,,
guinea,1990,ティティ・カマラ,,,,,,,
guinea,2000,パスカル・フェインドゥーノ,,,,,,,
guinea,2010,ナビ・ケイタ,,,,,,,
guinea,2020,セール・ギラシ,,,,,,,
south-korea,1990,洪明甫（ホン・ミョンボ）,黄善洪（ファン・ソンホン）,崔龍洙（チェ・ヨンス）,柳想鐵（ユ・サンチョル）,,,,
south-korea,2000,李雲在（イ・ウンジェ）,安貞桓（アン・ジョンファン）,李榮杓（イ・ヨンピョ）,朴智星（パク・チソン）,,,,
south-korea,2010,朴主永（パク・チュヨン）,李青龍（イ・チョンヨン）,奇誠庸（キ・ソンヨン）,具滋哲（ク・ジャチョル）,,,,
south-korea,2020,孫興慜（ソン・フンミン）,黄喜燦（ファン・ヒチャン）,金玟哉（キム・ミンジェ）,李康仁（イ・ガンイン）,,,,
australia,1990,ハリー・キューウェル,マーク・ヴィドゥカ,,,,,,
australia,2000,マーク・シュウォーツァー,ルーカス・ニール,ティム・ケーヒル,ブレット・エマートン,マーク・ブレシアーノ,,,
australia,2010,ミル・ジェディナク,マシュー・ライアン,アーロン・ムーイ,マシュー・レッキー,,,,
australia,2020,ジャクソン・アーバイン,ハリー・サウター,,,,,,
iran,1990,アリ・ダエイ,カリム・バゲリ,コダダド・アジジ,,,,,
iran,2000,メフディ・マハダヴィキア,アリ・カリミ,ジャバド・ネクナム,,,,,
iran,2010,アシュカン・デジャガ,サルダル・アズムン,アリレザ・ジャハンバフシュ,,,,,
iran,2020,メフディ・タレミ,,,,,,,
saudi-arabia,1990,サイード・アル＝オワイラン,サミ・アル＝ジャバー,,,,,,
saudi-arabia,2000,モハメド・アル＝デアイエ,,,,,,,
saudi-arabia,2020,サーレム・アッ＝ドーサリー,,,,,,,
uzbekistan,2020,エルドル・ショムロドフ,アブドゥコディル・フサノフ,アボスベク・ファイズラエフ,,,,,
spain,1990,アンドニ・スビサレッタ,フェルナンド・イエロ,ジョゼップ・グアルディオラ,ルイス・エンリケ,ラウール・ゴンサレス,,,
spain,2000,イケル・カシージャス,ガイスカ・メンディエタ,カルレス・プジョル,フェルナンド・モリエンテス,シャビ・エルナンデス,シャビ・アロンソ,フェルナンド・トーレス,
spain,2010,アンドレス・イニエスタ,セルヒオ・ラモス,ジェラール・ピケ,セルヒオ・ブスケツ,セスク・ファブレガス,ダビド・シルバ,ダビド・ビジャ,
spain,2020,ダニ・カルバハル,アルバロ・モラタ,ロドリ,ペドリ,ダニ・オルモ,ニコ・ウィリアムズ,ラミン・ヤマル,
france,1990,ファビアン・バルテズ,ディディエ・デシャン,マルセル・デサイー,ローラン・ブラン,リリアン・テュラム,ビセンテ・リザラズ,ユーリ・ジョルカエフ,
france,2000,ジネディーヌ・ジダン,パトリック・ヴィエラ,クロード・マケレレ,ティエリ・アンリ,ダビド・トレゼゲ,フランク・リベリー,パトリス・エヴラ,
france,2010,ウーゴ・ロリス,ラファエル・ヴァラン,ポール・ポグバ,エンゴロ・カンテ,カリム・ベンゼマ,オリヴィエ・ジルー,アントワーヌ・グリーズマン,
france,2020,キリアン・エムバペ,テオ・エルナンデス,マイク・メニャン,ウスマン・デンベレ,オーレリアン・チュアメニ,ダヨ・ウパメカノ,ウィリアン・サリバ,
england,1990,デイビッド・シーマン,トニー・アダムス,ポール・インス,ポール・ガスコイン,テディ・シェリンガム,アラン・シアラー,ポール・スコールズ,
england,2000,デイビッド・ベッカム,マイケル・オーウェン,リオ・ファーディナンド,ジョン・テリー,スティーヴン・ジェラード,フランク・ランパード,ウェイン・ルーニー,
england,2010,アシュリー・コール,ジョー・ハート,ジョーダン・ヘンダーソン,ラヒーム・スターリング,キーラン・トリッピアー,,,
england,2020,ジョーダン・ピックフォード,カイル・ウォーカー,ジョン・ストーンズ,ハリー・ケイン,デクラン・ライス,ブカヨ・サカ,ジュード・ベリンガム,
germany,1990,ローター・マテウス,ユルゲン・クリンスマン,トーマス・ヘスラー,アンドレアス・メラー,マティアス・ザマー,アンドレアス・ケプケ,オリバー・ビアホフ,
germany,2000,オリバー・カーン,ミヒャエル・バラック,ベルント・シュナイダー,トルステン・フリンクス,ミロスラフ・クローゼ,ルーカス・ポドルスキ,ペア・メルテザッカー,
germany,2010,フィリップ・ラーム,バスティアン・シュヴァインシュタイガー,メスト・エジル,マヌエル・ノイアー,トーマス・ミュラー,マッツ・フンメルス,トニ・クロース,
germany,2020,イルカイ・ギュンドアン,ヨシュア・キミッヒ,アントニオ・リュディガー,カイ・ハフェルツ,ジャマル・ムシアラ,フロリアン・ヴィルツ,,
netherlands,1990,デニス・ベルカンプ,フランク・デ・ブール,エドガー・ダーヴィッツ,クラレンス・セードルフ,パトリック・クライファート,ヤープ・スタム,エドウィン・ファン・デル・サール,
netherlands,2000,フィリップ・コクー,ルート・ファン・ニステルローイ,マルク・ファン・ボメル,ジョバンニ・ファン・ブロンクホルスト,ラファエル・ファン・デル・ファールト,ディルク・カイト,,
netherlands,2010,ヴェスレイ・スナイデル,アリエン・ロッベン,ロビン・ファン・ペルシー,ナイジェル・デ・ヨング,マールテン・ステケレンブルフ,ダレイ・ブリント,メンフィス・デパイ,
netherlands,2020,フィルジル・ファン・ダイク,フレンキー・デ・ヨング,マタイス・デ・リフト,デンゼル・ダンフリース,コーディ・ガクポ,シャビ・シモンズ,,
portugal,1990,ヴィトール・バイーア,パウロ・ソウザ,フェルナンド・コウト,ジョアン・ピント,ルイ・コスタ,ルイス・フィーゴ,,
portugal,2000,パウレタ,ヌーノ・ゴメス,デコ,マニシェ,リカルド,リカルド・カルヴァーリョ,シモン・サブローザ,
portugal,2010,クリスティアーノ・ロナウド,ペペ,ジョアン・モウティーニョ,ナニ,ルイ・パトリシオ,ウィリアム・カルヴァーリョ,ベルナルド・シウバ,
portugal,2020,ブルーノ・フェルナンデス,ルベン・ディアス,ジョアン・フェリックス,ディオゴ・ジョタ,ディオゴ・コスタ,ヌーノ・メンデス,ヴィティーニャ,
belgium,1990,ミシェル・プロドーム,エンツォ・シーフォ,フィリップ・アルベール,リュク・ニリス,,,,
belgium,2000,マルク・ヴィルモッツ,エミール・ムペンザ,ティミー・シモンス,ダニエル・ファン・ブイテン,,,,
belgium,2010,ヴァンサン・コンパニ,ヤン・フェルトンゲン,アクセル・ヴィツェル,エデン・アザール,ケヴィン・デ・ブライネ,ティボー・クルトワ,ロメル・ルカク,
belgium,2020,レアンドロ・トロサール,ユーリ・ティーレマンス,ジェレミー・ドク,アマドゥ・オナナ,ロイス・オペンダ,シャルル・デ・ケテラーレ,,
italy,1990,フランコ・バレージ,ロベルト・バッジョ,パオロ・マルディーニ,デメトリオ・アルベルティーニ,アレッサンドロ・コスタクルタ,アレッサンドロ・ネスタ,クリスティアン・ヴィエリ,
italy,2000,ジャンルイジ・ブッフォン,ファビオ・カンナヴァーロ,ジャンルカ・ザンブロッタ,アンドレア・ピルロ,ジェンナーロ・ガットゥーゾ,フランチェスコ・トッティ,アレッサンドロ・デル・ピエロ,
italy,2010,ダニエレ・デ・ロッシ,ジョルジョ・キエッリーニ,レオナルド・ボヌッチ,アンドレア・バルザーリ,クラウディオ・マルキージオ,マリオ・バロテッリ,マルコ・ヴェッラッティ,
italy,2020,チーロ・インモービレ,ロレンツォ・インシーニェ,ジョルジーニョ,ジャンルイジ・ドンナルンマ,ニコロ・バレッラ,フェデリコ・キエーザ,アレッサンドロ・バストーニ,
croatia,1990,ズボニミール・ボバン,アレン・ボクシッチ,ダヴォール・シュケル,ロベルト・プロシネチキ,アリョシャ・アサノヴィッチ,ロベルト・ヤルニ,ダリオ・シミッチ,
croatia,2000,ニコ・コヴァチ,ロベルト・コヴァチ,ダド・プルショ,ダリヨ・スルナ,ニコ・クラニチャール,イヴィツァ・オリッチ,エドゥアルド・ダ・シルバ,
croatia,2010,ルカ・モドリッチ,イヴァン・ラキティッチ,マリオ・マンジュキッチ,イヴァン・ペリシッチ,マルセロ・ブロゾヴィッチ,デヤン・ロヴレン,ダニエル・スバシッチ,
croatia,2020,マテオ・コヴァチッチ,アンドレイ・クラマリッチ,ドミニク・リヴァコヴィッチ,ヨシュコ・グヴァルディオル,,,,
czechia,1990,パベル・ネドヴェド,カレル・ポボルスキー,パトリック・ベルガー,ウラディミール・スミチェル,ラデク・ベイブル,パベル・クカ,,
czechia,2000,ペトル・チェフ,トマーシュ・ロシツキー,ヤン・コレル,ミラン・バロシュ,トマーシュ・ウイファルシ,マレク・ヤンクロフスキ,トマーシュ・ガラセク,
czechia,2010,テオドル・ゲブレ・セラシェ,ペトル・イラーチェク,ウラディミール・ダリダ,,,,,
czechia,2020,トマーシュ・ソウチェク,パトリック・シック,,,,,,
sweden,1990,ヨナス・テルン,トーマス・ラヴェリ,ステファン・シュヴァルツ,トーマス・ブロリン,マルティン・ダーリン,パトリック・アンデション,ケネット・アンデション,
sweden,2000,ヘンリク・ラーション,フレドリック・ユングベリ,オロフ・メルベリ,アンデシュ・スヴェンソン,マルクス・アルベック,キム・シェルストレーム,,
sweden,2010,ズラタン・イブラヒモヴィッチ,セバスティアン・ラーション,アンドレアス・グランクヴィスト,ミカエル・ルスティグ,,,,
sweden,2020,エミル・フォルスベリ,アレクサンデル・イサク,デヤン・クルゼフスキ,ヴィクトル・ギェケレシュ,,,,
denmark,1990,ピーター・シュマイケル,ミカエル・ラウドルップ,ブライアン・ラウドルップ,ジョン・イェンセン,キム・ヴィルフォルト,アラン・ニールセン,マルティン・ヨルゲンセン,
denmark,2000,エッベ・サンド,ヨン・ダール・トマソン,トーマス・セーレンセン,トーマス・グラヴェセン,イェスパー・グレンケア,デニス・ロンメダール,クリスティアン・ポウルセン,
denmark,2010,ダニエル・アッゲル,クリスティアン・エリクセン,シモン・ケアー,カスパー・シュマイケル,ニクラス・ベントナー,ウィリアム・クヴィスト,,
denmark,2020,ピエール＝エミール・ホイビュルク,アンドレアス・クリステンセン,ヨアキム・メーレ,ミッケル・ダムスゴー,ラスムス・ホイルンド,,,
turkey,1990,オウズ・チェティン,ハカン・シュキュル,ビュレント・コルクマズ,トゥガイ・ケリモール,,,,
turkey,2000,リュシュテュ・レチベル,アルパイ・オザラン,エムレ・ベロゾール,ハサン・シャシュ,イルハン・マンスズ,ニハト・カフヴェジ,ハミト・アルトゥントップ,
turkey,2010,アルダ・トゥラン,ブラク・ユルマズ,,,,,,
turkey,2020,ハカン・チャルハノール,メリフ・デミラル,オルクン・コクチュ,アルダ・ギュレル,ケナン・ユルディズ,,,
serbia,1990,ドラガン・ストイコビッチ,デヤン・サヴィチェヴィッチ,ヴラディミル・ユーゴヴィッチ,プレドラグ・ミヤトヴィッチ,シニシャ・ミハイロヴィッチ,,,
serbia,2000,サヴォ・ミロシェヴィッチ,デヤン・スタンコヴィッチ,ムラデン・クルスタイッチ,マテヤ・ケジュマン,ネマニャ・ヴィディッチ,イヴィツァ・ドラグティノヴィッチ,ニコラ・ジギッチ,
serbia,2010,ブラニスラヴ・イヴァノヴィッチ,アレクサンダル・コラロフ,ネマニャ・マティッチ,ドゥシャン・タディッチ,アレクサンダル・ミトロヴィッチ,セルゲイ・ミリンコヴィッチ＝サヴィッチ,,
serbia,2020,フィリップ・コスティッチ,ニコラ・ミレンコヴィッチ,ドゥシャン・ヴラホヴィッチ,,,,,
switzerland,1990,ステファヌ・シャピュイサ,アラン・ズッター,チリアコ・スフォルツァ,クビライ・テュルキルマズ,,,,
switzerland,2000,ヨハン・フォーゲル,アレクサンダー・フライ,ハカン・ヤキン,パトリック・ミュラー,フィリップ・センデロス,トランクイロ・バルネッタ,,
switzerland,2010,シュテファン・リヒトシュタイナー,ヴァロン・ベーラミ,ギョクハン・インレル,ヤン・ゾマー,ジェルダン・シャキリ,グラニト・ジャカ,リカルド・ロドリゲス,
switzerland,2020,レモ・フロイラー,マヌエル・アカンジ,ブレール・エンボロ,デニス・ザカリア,,,,
norway,1990,ルネ・ブラツェット,ヘニング・ベルグ,スティグ・インゲ・ビョルンビー,エリック・ミュクラン,ロニー・ヨンセン,トーレ・アンドレ・フロー,オーレ・グンナー・スールシャール,
norway,2000,ヨン・カリュー,ヨン・アルネ・リーセ,モルテン・ガムスト・ペデルセン,ブレデ・ハンゲラン,,,,
norway,2010,ヨシュア・キング,,,,,,,
norway,2020,マルティン・ウーデゴール,アーリング・ハーランド,アレクサンダー・セルロート,ユリアン・リエルソン,,,,
austria,1990,トニ・ポルスター,アンドレアス・ヘルツォーク,ミヒャエル・コンゼル,ヴォルフガング・ファイアージンガー,イヴィツァ・ヴァスティッチ,,,
austria,2000,アンドレアス・イヴァンシッツ,マルティン・シュトランツル,マルク・ヤンコ,,,,,
austria,2010,クリスティアン・フックス,ダヴィド・アラバ,マルコ・アルナウトヴィッチ,,,,,
austria,2020,マルセル・ザビッツァー,コンラート・ライマー,ミヒャエル・グレゴリッチュ,,,,,
romania,1990,ゲオルゲ・ハジ,ゲオルゲ・ポペスク,ヴィオレル・モルドヴァン,フロリン・ラドチョウ,イリエ・ドゥミトレスク,ダン・ペトレスク,ドリネル・ムンテアヌ,
