competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,2022,WC-2022-MD041,3,GOAL,セルビア,Dušan Vlahović,,35,1H,GL3,スイス,
WC,2022,WC-2022-MD041,4,GOAL,スイス,Breel Embolo,,44,1H,GL3,セルビア,
WC,2022,WC-2022-MD041,5,GOAL,スイス,Remo Freuler,,48,2H,GL3,セルビア,
WC,2022,WC-2022-MD049,1,GOAL,オランダ,Memphis Depay,,10,1H,R16,アメリカ,
WC,2022,WC-2022-MD049,2,GOAL,オランダ,Daley Blind,,45+1,1H,R16,アメリカ,
WC,2022,WC-2022-MD049,3,GOAL,アメリカ,Haji Wright,,76,2H,R16,オランダ,
WC,2022,WC-2022-MD049,4,GOAL,オランダ,Denzel Dumfries,,81,2H,R16,アメリカ,
WC,2022,WC-2022-MD050,1,GOAL,アルゼンチン,Lionel Messi,,35,1H,R16,オーストラリア,
WC,2022,WC-2022-MD050,2,GOAL,アルゼンチン,Julián Álvarez,,57,2H,R16,オーストラリア,
WC,2022,WC-2022-MD050,3,OWN_GOAL,オーストラリア,Enzo Fernández,,77,2H,R16,アルゼンチン,
WC,2022,WC-2022-MD051,1,GOAL,フランス,Olivier Giroud,,44,1H,R16,ポーランド,
WC,2022,WC-2022-MD051,2,GOAL,フランス,Kylian Mbappé,,74,2H,R16,ポーランド,
WC,2022,WC-2022-MD051,3,GOAL,フランス,Kylian Mbappé,,90+1,2H,R16,ポーランド,
WC,2022,WC-2022-MD051,4,GOAL,ポーランド,Robert Lewandowski,,90+9,2H,R16,フランス,PK
WC,2022,WC-2022-MD052,1,GOAL,イングランド,Jordan Henderson,,38,1H,R16,セネガル,
WC,2022,WC-2022-MD052,2,GOAL,イングランド,Harry Kane,,45+3,1H,R16,セネガル,
WC,2022,WC-2022-MD052,3,GOAL,イングランド,Bukayo Saka,,57,2H,R16,セネガル,
WC,2022,WC-2022-MD053,1,GOAL,日本,Daizen Maeda,,43,1H,R16,クロアチア,
WC,2022,WC-2022-MD053,2,GOAL,クロアチア,Ivan Perišić,,55,2H,R16,日本,
WC,2022,WC-2022-MD054,1,GOAL,ブラジル,Vinícius Júnior,,7,1H,R16,韓国,
WC,2022,WC-2022-MD054,2,GOAL,ブラジル,Neymar,,13,1H,R16,韓国,PK
WC,2022,WC-2022-MD054,3,GOAL,ブラジル,Richarlison,,29,1H,R16,韓国,
WC,2022,WC-2022-MD054,4,GOAL,ブラジル,Lucas Paquetá,,36,1H,R16,韓国,
WC,2022,WC-2022-MD054,5,GOAL,韓国,Paik Seung-ho,,76,2H,R16,ブラジル,
WC,2022,WC-2022-MD056,1,GOAL,ポルトガル,Gonçalo Ramos,,17,1H,R16,スイス,
WC,2022,WC-2022-MD056,2,GOAL,ポルトガル,Pepe,,33,1H,R16,スイス,
WC,2022,WC-2022-MD056,3,GOAL,ポルトガル,Gonçalo Ramos,,51,2H,R16,スイス,
WC,2022,WC-2022-MD056,4,GOAL,ポルトガル,Raphaël Guerreiro,,55,2H,R16,スイス,
WC,2022,WC-2022-MD056,5,GOAL,スイス,Manuel Akanji,,58,2H,R16,ポルトガル,
WC,2022,WC-2022-MD056,6,GOAL,ポルトガル,Gonçalo Ramos,,67,2H,R16,スイス,
WC,2022,WC-2022-MD056,7,GOAL,ポルトガル,Rafael Leão,,90+2,2H,R16,スイス,
WC,2022,WC-2022-MD057,1,GOAL,ブラジル,Neymar,,105+1,ET1,QF,クロアチア,
WC,2022,WC-2022-MD057,2,GOAL,クロアチア,Bruno Petković,,117,ET2,QF,ブラジル,
WC,2022,WC-2022-MD058,1,GOAL,アルゼンチン,Nahuel Molina,,35,1H,QF,オランダ,
WC,2022,WC-2022-MD058,2,GOAL,アルゼンチン,Lionel Messi,,73,2H,QF,オランダ,PK
