club_key,decade,player1,player2,player3,player4,player5,
manchester-city,2000,ショーン・ライト＝フィリップス,リチャード・ダン,ロビーニョ,カルロス・テベス,,
manchester-city,2010,ヴァンサン・コンパニ,ダビド・シルバ,セルヒオ・アグエロ,ヤヤ・トゥーレ,ケヴィン・デ・ブライネ,
manchester-city,2020,イルカイ・ギュンドアン,ベルナルド・シウバ,ルベン・ディアス,ロドリ,アーリング・ハーランド,
tottenham-hotspur,1990,ガリー・リネカー,ポール・ガスコイン,テディ・シェリンガム,ダレン・アンダートン,ソル・キャンベル,
tottenham-hotspur,2000,ロビー・キーン,ジャーメイン・デフォー,レドリー・キング,アーロン・レノン,ディミタール・ベルバトフ,
tottenham-hotspur,2010,ガレス・ベイル,ウーゴ・ロリス,クリスティアン・エリクセン,ハリー・ケイン,ソン・フンミン,
tottenham-hotspur,2020,クリスティアン・ロメロ,デヤン・クルゼフスキ,,,,
newcastle-united,1990,ピーター・ベアズリー,アンディ・コール,ダビド・ジノラ,レス・ファーディナンド,アラン・シアラー,
newcastle-united,2000,ギャリー・スピード,ノルベルト・ソラーノ,シェイ・ギヴン,ローラン・ロベール,キーロン・ダイアー,
newcastle-united,2010,ファブリシオ・コロッチーニ,ヨアン・キャバイェ,パピス・シセ,,,
newcastle-united,2020,キーラン・トリッピアー,ブルーノ・ギマランイス,ジョエリントン,アレクサンデル・イサク,アンソニー・ゴードン,
aston-villa,1990,ポール・マグラー,ドワイト・ヨーク,マーク・ボスニッチ,ガレス・サウスゲート,,
aston-villa,2000,ガレス・バリー,オロフ・メルベリ,フアン・パブロ・アンヘル,アシュリー・ヤング,,
aston-villa,2010,ガブリエル・アグボンラホール,クリスティアン・ベンテケ,ジャック・グリーリッシュ,,,
aston-villa,2020,エミリアーノ・マルティネス,ジョン・マッギン,オリー・ワトキンス,,,
leicester-city,1990,エミール・ヘスキー,ムジー・イゼット,,,,
leicester-city,2000,,,,,,
leicester-city,2010,ジェイミー・ヴァーディ,カスパー・シュマイケル,リヤド・マフレズ,エンゴロ・カンテ,岡崎慎司,
leicester-city,2020,ユーリ・ティーレマンス,ジェームズ・マディソン,,,,
leeds-united,1990,ゴードン・ストラカン,ギャリー・スピード,ガリー・マカリスター,トニー・イェボア,ハリー・キューウェル,
leeds-united,2000,リオ・ファーディナンド,マーク・ヴィドゥカ,リー・ボウヤー,アラン・スミス,イアン・ハート,
leeds-united,2010,,,,,,
leeds-united,2020,カルヴィン・フィリップス,パトリック・バンフォード,ハフィーニャ,,,
valencia,1990,フェルナンド・ゴメス,サンティアゴ・カニサレス,クラウディオ・ロペス,ガイスカ・メンディエタ,,
valencia,2000,ロベルト・アジャラ,ダビド・アルベルダ,パブロ・アイマール,ダビド・ビジャ,ダビド・シルバ,
valencia,2010,ダニ・パレホ,ジョルディ・アルバ,ロベルト・ソルダード,ロドリゴ・モレノ,,
valencia,2020,ホセ・ガヤ,ウーゴ・ドゥロ,,,,
sevilla,1990,,,,,,
sevilla,2000,ヘスス・ナバス,フレデリック・カヌーテ,ルイス・ファビアーノ,ダニエウ・アウヴェス,アンドレス・パロップ,
sevilla,2010,イヴァン・ラキティッチ,エベル・バネガ,カルロス・バッカ,ケヴィン・ガメイロ,,
sevilla,2020,ユセフ・エン＝ネシリ,ルーカス・オカンポス,,,,
ajax,1990,ダニー・ブリント,フランク・デ・ブール,ヤリ・リトマネン,エドウィン・ファン・デル・サール,エドガー・ダーヴィッツ,
ajax,2000,クリスティアン・キヴ,ラファエル・ファン・デル・ファールト,ズラタン・イブラヒモヴィッチ,ヴェスレイ・スナイデル,ルイス・スアレス,
