club_key,league_key,league_display,club_display_ja,club_display_en,sort_ja,aliases,status,notes,,
leeds-united,premier-league,Premier League,リーズ・ユナイテッド,Leeds United,リーズ・ユナイテッド,リーズ・ユナイテッドFC,active,,,
milan,serie-a,SerieA,ACミラン,AC Milan,ACミラン,,active,,,
roma,serie-a,SerieA,ASローマ,AS Roma,ASローマ,,active,,,
napoli,serie-a,SerieA,SSCナポリ,SSC Napoli,SSCナポリ,,active,,,
atalanta,serie-a,SerieA,アタランタ,Atalanta BC,アタランタ,アタランタBC,active,,,
inter,serie-a,SerieA,インテル・ミラノ,Internazionale Milano,インテル・ミラノ,インテルナツィオナーレ・ミラノ,active,,,
udinese,serie-a,SerieA,ウディネーゼ,Udinese Calcio,ウディネーゼ,ウディネーゼ・カルチョ,active,,,
hellas-verona,serie-a,SerieA,エラス・ヴェローナ,Hellas Verona,エラス・ヴェローナ,,active,,,
cagliari,serie-a,SerieA,カリアリ,Cagliari Calcio,カリアリ,カリアリ・カルチョ,active,,,
cremonese,serie-a,SerieA,クレモネーゼ,US Cremonese,クレモネーゼ,,active,,,
como,serie-a,SerieA,コモ1907,Como 1907,コモ1907,,active,,,
sassuolo,serie-a,SerieA,サッスオーロ,US Sassuolo,サッスオーロ,USサッスオーロ,active,,,
genoa,serie-a,SerieA,ジェノア,Genoa CFC,ジェノア,ジェノアCFC,active,,,
torino,serie-a,SerieA,トリノ,Torino FC,トリノ,トリノFC,active,,,
parma,serie-a,SerieA,パルマ,Parma Calcio 1913,パルマ,パルマ・カルチョ 1913,active,,,
pisa,serie-a,SerieA,ピサ,Pisa SC,ピサ,,active,,,
fiorentina,serie-a,SerieA,フィオレンティーナ,ACF Fiorentina,フィオレンティーナ,ACFフィオレンティーナ,active,,,
bologna,serie-a,SerieA,ボローニャ,Bologna FC 1909,ボローニャ,ボローニャFC 1909,active,,,
juventus,serie-a,SerieA,ユヴェントス,Juventus FC,ユヴェントス,ユヴェントスFC,active,,,
lazio,serie-a,SerieA,ラツィオ,SS Lazio,ラツィオ,SSラツィオ,active,,,
lecce,serie-a,SerieA,レッチェ,US Lecce,レッチェ,USレッチェ,active,,,
psv,eredivisie,Eredivisie,PSVアイントホーフェン,PSV,PSV,,active,,,
feyenoord,eredivisie,Eredivisie,フェイエノールト,Feyenoord,フェイエノールト,フェイエノールト・ロッテルダム,active,,,
ajax,eredivisie,Eredivisie,アヤックス・アムステルダム,Ajax Amsterdam,アヤックス,アヤックス|アヤックス・アムステルダム,active,,,
nec,eredivisie,Eredivisie,NECナイメヘン,NEC Nijmegen,NECナイメヘン,,active,,,
az,eredivisie,Eredivisie,AZアルクマール,AZ,AZアルクマール,AZ,active,,,
porto,primeira-liga,Primeira Liga,FCポルト,FC Porto,ポルト,,active,,,
sporting,primeira-liga,Primeira Liga,スポルティングCP,Sporting CP,スポルティングCP,,active,,,
benfica,primeira-liga,Primeira Liga,SLベンフィカ,SL Benfica,ベンフィカ,,active,,,
celtic,scottish-premiership,Scottish Premiership,セルティック,Celtic,セルティック,セルティックFC,active,,,
shonan_bellmare,J,Jリーグ,湘南ベルマーレ,Shonan Bellmare,湘南ベルマーレ,ベルマーレ平塚,active,旧称：ベルマーレ平塚,,
yokohama_f_marinos,J,Jリーグ,横浜F・マリノス,Yokohama F. Marinos,横浜F・マリノス,横浜マリノス,active,,,
yokohama_flugels,J,Jリーグ,横浜フリューゲルス,Yokohama Flügels,横浜フリューゲルス,,defunct,1999年 横浜F・マリノスと統合,,
kashima_antlers,J,Jリーグ,鹿島アントラーズ,Kashima Antlers,鹿島アントラーズ,,active,,,
shimizu_s_pulse,J,Jリーグ,清水エスパルス,Shimizu S-Pulse,清水エスパルス,,active,,,
jubilo_iwata,J,Jリーグ,ジュビロ磐田,Júbilo Iwata,ジュビロ磐田,,active,,,
urawa_reds,J,Jリーグ,浦和レッズ,Urawa Red Diamonds,浦和レッズ,浦和レッドダイヤモンズ,active,,,
cerezo_osaka,J,Jリーグ,セレッソ大阪,Cerezo Osaka,セレッソ大阪,,active,,,
tokyo_verdy,J,Jリーグ,東京ヴェルディ,Tokyo Verdy,東京ヴェルディ,ヴェルディ川崎,active,旧称：ヴェルディ川崎,,
nagoya_grampus,J,Jリーグ,名古屋グランパス,Nagoya Grampus,名古屋グランパス,名古屋グランパスエイト,active,,,
gamba_osaka,J,Jリーグ,ガンバ大阪,Gamba Osaka,ガンバ大阪,,active,,,
kashiwa_reysol,J,Jリーグ,柏レイソル,Kashiwa Reysol,柏レイソル,,active,,,
fc_tokyo,J,Jリーグ,FC東京,FC Tokyo,FC東京,,active,,,
sanfrecce_hiroshima,J,Jリーグ,サンフレッチェ広島,Sanfrecce Hiroshima,サンフレッチェ広島,サンフレッチェ広島F.C,active,,,
jef_united_chiba,J,Jリーグ,ジェフユナイテッド千葉,JEF United Chiba,ジェフユナイテッド千葉,ジェフユナイテッド市原,active,,,
kawasaki_frontale,J,Jリーグ,川崎フロンターレ,Kawasaki Frontale,川崎フロンターレ,,active,,,
albirex_niigata,J,Jリーグ,アルビレックス新潟,Albirex Niigata,アルビレックス新潟,,active,,,
vissel_kobe,J,Jリーグ,ヴィッセル神戸,Vissel Kobe,ヴィッセル神戸,,active,,,
oita_trinita,J,Jリーグ,大分トリニータ,Oita Trinita,大分トリニータ,,active,,,
sagan_tosu,J,Jリーグ,サガン鳥栖,Sagan Tosu,サガン鳥栖,,active,,,
machida_zelvia,J,Jリーグ,FC町田ゼルビア,Machida Zelvia,FC町田ゼルビア,,active,,,
fagiano_okayama,J,Jリーグ,ファジアーノ岡山,Fagiano Okayama,ファジアーノ岡山,,active,,,
kyoto_sanga,J,Jリーグ,京都サンガF.C.,Kyoto Sanga FC,京都サンガF.C.,京都サンガF.C,active,,,
leicester-city,premier-league,Premier League,レスター・シティ,Leicester City,レスター・シティ,レスター,active,24-25降格,,
ipswich,premier-league,Premier League,イプスウィッチ・タウン,Ipswich Town,イプスウィッチ・タウン,イプスウィッチ,active,24-25降格,,
southampton,premier-league,Premier League,サウサンプトン,Leeds United,サウサンプトン,サウサンプトンFC,active,24-25降格,,
luton-town,premier-league,Premier League,ルートン・タウン,Luton Town,ルートン・タウン,ルートン,active,23-24降格,,
sheffield-united,premier-league,Premier League,シェフィールド・ユナイテッド,Sheffield United,シェフィールド・ユナイテッド,シェフィールド,active,23-24降格,,
norwich-city,premier-league,Premier League,ノリッジ,Norwich City,ノリッジ・シティ,ノリッジ・シティFC,active,21-22降格,,
watford,premier-league,Premier League,ワトフォード,Watford,ワトフォード,ワトフォードFC,active,21-22降格,,
west-bromwich-albion,premier-league,Premier League,ウェスト・ブロムウィッチ,West Bromwich,ウェスト・ブロムウィッチ,ウェスト・ブロムウィッチ・アルビオンFC,active,21-22降格,,
leganes,laliga,LaLiga,レガネス,Leganes,レガネス,レガネス,active,24-25降格,,
las-palmas,laliga,LaLiga,ラス・パルマス,Las Palmas,ラス・パルマス,ラス・パルマス,active,24-25降格,,
valladolid,laliga,LaLiga,バジャドリード,Valladolid,バジャドリード,バジャドリード,active,24-25降格,,
cadiz,laliga,LaLiga,カディス,Cadiz,カディス,カディス,active,23-24降格,,
almeria,laliga,LaLiga,アルメリア,Almeria,アルメリア,アルメリア,active,23-24降格,,
granada,laliga,LaLiga,グラナダ,Granada,グラナダ,グラナダ CF,active,23-24降格,,
huesca,laliga,LaLiga,ウエスカ,Huesca,ウエスカ,,active,20-21降格,,
eibar,laliga,LaLiga,エイバル,Eibar,エイバル,,active,20-21降格,,
holstein-kiel,bundesliga,Bundesliga,ホルシュタイン・キール,Holstein Kiel,ホルシュタイン・キール,キール,active,24-25降格,,
bochum,bundesliga,Bundesliga,ボーフム,Bochum,ボーフム,VfLボーフム,active,24-25降格,,
darmstadt,bundesliga,Bundesliga,ダルムシュタット,Darmstadt,ダルムシュタット,SVダルムシュタット98,active,23-24降格,,
schalke,bundesliga,Bundesliga,シャルケ04,Schalke,シャルケ,シャルケ04,active,22-23降格,,
hertha-berlin,bundesliga,Bundesliga,ヘルタ・ベルリン,Hertha Berlin,ヘルタ・ベルリン,,active,22-23降格,,
bielefeld,bundesliga,Bundesliga,アルミニア・ビーレフェルト,Bielefeld,ビーレフェルト,ビーレフェルト,active,21-22降格,,
greuther-furth,bundesliga,Bundesliga,グロイター・フュルト,Greuther Furth,グロイター・フュルト,SpVggグロイター・フュルト,active,21-22降格,,
empoli,serie-a,SerieA,エンポリ,Empoli,エンポリ,,active,24-25降格,,
venezia,serie-a,SerieA,ヴェネツィア,Venezia,ヴェネツィア,,active,24-25降格,,
monza,serie-a,SerieA,モンツァ,Monza,モンツァ,,active,24-25降格,,
frosinone,serie-a,SerieA,フロジノーネ,Frosinone,フロジノーネ,,active,23-24降格,,
salernitana,serie-a,SerieA,サレルニターナ,Salernitana,サレルニターナ,,active,23-24降格,,
spezia,serie-a,SerieA,スペツィア,Spezia,スペツィア,,active,22-23降格,,
sampdoria,serie-a,SerieA,サンプドリア,Sampdoria,サンプドリア,,active,22-23降格,,
benevento,serie-a,SerieA,ベネヴェント,Benevento,ベネヴェント,,active,21-22降格,,
crotone,serie-a,SerieA,クロトーネ,Crotone,クロトーネ,,active,21-22降格,,
stade-reims,ligue-1,Ligue1,スタッド・ランス,Stade Reims,スタッド・ランス,,active,24-25降格,,
saint-etienne,ligue-1,Ligue1,サンテティエンヌ,Saint Etienne,サンテティエンヌ,,active,24-25降格,,
montpellier,ligue-1,Ligue1,モンペリエ,Montpellier,モンペリエ,,active,24-25降格,,
clermont,ligue-1,Ligue1,クレルモン,Clermont,クレルモン,,active,23-24降格,,
ajaccio,ligue-1,Ligue1,ACアジャクシオ,Ajaccio,アジャクシオ,,active,22-23降格,,
troyes,ligue-1,Ligue1,トロワAC,Troyes,トロワ,,active,22-23降格,,
bordeaux,ligue-1,Ligue1,ボルドー,Bordeaux,ボルドー,,active,21-22降格,,
nimes,ligue-1,Ligue1,ニーム・オリンピック,Nimes,ニーム,,active,21-22降格,,
dijon,ligue-1,Ligue1,ディジョンFCO,Bordeaux,ディジョン,,active,21-22降格,,
cardiff-city,premier-league,Premier League,カーディフ・シティ,Cardiff City,カーディフ,カーディフ,active,18-19降格,,
huddersfield,premier-league,Premier League,ハダーズフィールド・タウン,Huddersfield Town,ハダーズフィールド,ハダーズフィールド,active,18-19降格,,
swansea-city,premier-league,Premier League,スウォンジー・シティ,Swansea City,スウォンジー,スウォンジー,active,17-18降格,,
stoke-city,premier-league,Premier League,ストーク・シティ,Stoke City,ストーク・シティ,,active,17-18降格,,
hull-city,premier-league,Premier League,ハル・シティ,Hull City,ハル・シティ,,active,16-17降格,,
middlesbrough,premier-league,Premier League,ミドルスブラ,Middlesbrough,ミドルスブラ,,active,16-17降格,,
fortuna-dusseldorf,bundesliga,Bundesliga,フォルトゥナ・デュッセルドルフ,Fortuna Dusseldorf,デュッセルドルフ,フォルトゥナ・デュッセルドルフ,active,19-20降格,,
paderborn,bundesliga,Bundesliga,パーダーボルン,Paderborn,パーダーボルン,SCパーダーボルン07,active,19-20降格,,
hannover,bundesliga,Bundesliga,ハノーファー96,Hannover,ハノーファー,ハノーファー,active,18-19降格,,
nurnberg,bundesliga,Bundesliga,ニュルンベルク,Nurnberg,ニュルンベルク,,active,18-19降格,,
ingolstadt,bundesliga,Bundesliga,インゴルシュタット,Ingolstadt,インゴルシュタット,,active,16-17降格,,
