match-id,slug,competition,edition,md,stage,group,sec,datetime-local,home,home_key,away,away_key,stadium,home_score,away_score,home_score_pk,away_score_pk,mom,mom_team,note,updated_at
WC-2026-MD044,jordan-vs-algeria,WC,2026,MD044,Group-Phase,J,第２節,6/23(火)12:00,ヨルダン,jordan,アルジェリア,algeria,サンフランシスコベイエリアスタジアム,1,2,,,イブラヒム・マーサ,アルジェリア,,2026/6/23
WC-2026-MD045,portugal-vs-uzbekistan,WC,2026,MD045,Group-Phase,K,第２節,6/24(水)02:00,ポルトガル,portugal,ウズベキスタン,uzbekistan,ヒューストンスタジアム,5,0,,,クリスティアーノ・ロナウド,ポルトガル,,2026/6/24
WC-2026-MD046,england-vs-ghana,WC,2026,MD046,Group-Phase,L,第２節,6/24(水)05:00,イングランド,england,ガーナ,ghana,ボストンスタジアム,0,0,,,ジュード・ベリンガム,イングランド,,2026/6/24
WC-2026-MD047,panama-vs-croatia,WC,2026,MD047,Group-Phase,L,第２節,6/24(水)08:00,パナマ,panama,クロアチア,croatia,トロントスタジアム,0,1,,,クリスティアン・マルティネス,パナマ,,2026/6/24
WC-2026-MD048,colombia-vs-dr-congo,WC,2026,MD048,Group-Phase,K,第２節,6/24(水)11:00,コロンビア,colombia,コンゴ民主共和国,dr-congo,エスタディオ・グアダラハラ,1,0,,,ダニエル・ムニョス,コロンビア,,2026/6/24
WC-2026-MD049,switzerland-vs-canada,WC,2026,MD049,Group-Phase,B,第３節,6/25(木)04:00,スイス,switzerland,カナダ,canada,BCプレイスバンクーバー,2,1,,,ヨハン・マンザンビ,スイス,,2026/6/25
WC-2026-MD050,bosnia-and-herzegovina-vs-qatar,WC,2026,MD050,Group-Phase,B,第３節,6/25(木)04:00,ボスニア・ヘルツェゴビナ,bosnia-and-herzegovina,カタール,qatar,シアトルスタジアム,3,1,,,ケリム・アライベゴヴィッチ,ボスニア・ヘルツェゴビナ,,2026/6/25
WC-2026-MD051,scotland-vs-brazil,WC,2026,MD051,Group-Phase,C,第３節,6/25(木)07:00,スコットランド,scotland,ブラジル,brazil,マイアミスタジアム,0,3,,,ヴィニシウス・ジュニオール,ブラジル,,2026/6/25
WC-2026-MD052,morocco-vs-haiti,WC,2026,MD052,Group-Phase,C,第３節,6/25(木)07:00,モロッコ,morocco,ハイチ,haiti,アトランタスタジアム,4,2,,,アクラフ・ハキミ,モロッコ,,2026/6/25
WC-2026-MD053,czechia-vs-mexico,WC,2026,MD053,Group-Phase,A,第３節,6/25(木)10:00,チェコ,czechia,メキシコ,mexico,エスタディオ・アステカ・メキシコシティー,0,3,,,マテオ・チャベス,メキシコ,,2026/6/25
WC-2026-MD054,south-africa-vs-south-korea,WC,2026,MD054,Group-Phase,A,第３節,6/25(木)10:00,南アフリカ共和国,south-africa,韓国,south-korea,エスタディオ・モンテレイ,1,0,,,タペロ・マセコ,南アフリカ共和国,,2026/6/25
WC-2026-MD055,curacao-vs-cote-divoire,WC,2026,MD055,Group-Phase,E,第３節,6/26(金)05:00,キュラソー,curacao,コートジボワール,cote-divoire,フィラデルフィアスタジアム,0,2,,,ニコラ・ペペ,コートジボワール,,2026/6/26
WC-2026-MD056,ecuador-vs-germany,WC,2026,MD056,Group-Phase,E,第３節,6/26(金)05:00,エクアドル,ecuador,ドイツ,germany,ニューヨーク/ニュージャージースタジアム,2,1,,,ニルソン・アングロ,エクアドル,,2026/6/26
WC-2026-MD057,japan-vs-sweden,WC,2026,MD057,Group-Phase,F,第３節,6/26(金)08:00,日本,japan,スウェーデン,sweden,ダラススタジアム,1,1,,,アンソニー・エランガ,スウェーデン,,2026/6/26
WC-2026-MD058,tunisia-vs-netherlands,WC,2026,MD058,Group-Phase,F,第３節,6/26(金)08:00,チュニジア,tunisia,オランダ,netherlands,カンザスシティースタジアム,1,3,,,ブライアン・ブロビー,オランダ,,2026/6/26
WC-2026-MD059,turkey-vs-usa,WC,2026,MD059,Group-Phase,D,第３節,6/26(金)11:00,トルコ,turkey,アメリカ,usa,ロサンゼルススタジアム,3,2,,,アルダ・ギュレル,トルコ,,2026/6/26
WC-2026-MD060,paraguay-vs-australia,WC,2026,MD060,Group-Phase,D,第３節,6/26(金)11:00,パラグアイ,paraguay,オーストラリア,australia,サンフランシスコベイエリアスタジアム,0,0,,,エイデン・オニール,オーストラリア,,2026/6/26
WC-2026-MD061,norway-vs-france,WC,2026,MD061,Group-Phase,I,第３節,6/27(土)04:00,ノルウェー,norway,フランス,france,ボストンスタジアム,1,4,,,ウスマン・デンベレ,フランス,,2026/6/27
WC-2026-MD062,senegal-vs-iraq,WC,2026,MD062,Group-Phase,I,第３節,6/27(土)04:00,セネガル,senegal,イラク,iraq,トロントスタジアム,5,0,,,パプ・ゲイェ,セネガル,,2026/6/27
WC-2026-MD063,cape-verde-vs-saudi-arabia,WC,2026,MD063,Group-Phase,H,第３節,6/27(土)09:00,カーボベルデ,cape-verde,サウジアラビア,saudi-arabia,ヒューストンスタジアム,0,0,,,デロイ・ドゥアルテ,カーボベルデ,,2026/6/27
WC-2026-MD064,uruguay-vs-spain,WC,2026,MD064,Group-Phase,H,第３節,6/27(土)09:00,ウルグアイ,uruguay,スペイン,spain,エスタディオ・グアダラハラ,0,1,,,アレックス・バエナ,スペイン,,2026/6/27
WC-2026-MD065,egypt-vs-iran,WC,2026,MD065,Group-Phase,G,第３節,6/27(土)12:00,エジプト,egypt,イラン,iran,シアトルスタジアム,1,1,,,ラーミーン・レザーイヤーン,イラン,,2026/6/27
WC-2026-MD066,new-zealand-vs-belgium,WC,2026,MD066,Group-Phase,G,第３節,6/27(土)12:00,ニュージーランド,new-zealand,ベルギー,belgium,BCプレイスバンクーバー,1,5,,,レアンドロ・トロサール,ベルギー,,2026/6/27
WC-2026-MD067,panama-vs-england,WC,2026,MD067,Group-Phase,L,第３節,6/28(日)06:00,パナマ,panama,イングランド,england,ニューヨーク/ニュージャージースタジアム,0,2,,,ジュード・ベリンガム,イングランド,,2026/6/28
WC-2026-MD068,croatia-vs-ghana,WC,2026,MD068,Group-Phase,L,第３節,6/28(日)06:00,クロアチア,croatia,ガーナ,ghana,フィラデルフィアスタジアム,2,1,,,ペタル・スチッチ,クロアチア,,2026/6/28
WC-2026-MD069,colombia-vs-portugal,WC,2026,MD069,Group-Phase,K,第３節,6/28(日)08:30,コロンビア,colombia,ポルトガル,portugal,マイアミスタジアム,0,0,,,ディオゴ・コスタ,ポルトガル,,2026/6/28
WC-2026-MD070,dr-congo-vs-uzbekistan,WC,2026,MD070,Group-Phase,K,第３節,6/28(日)08:30,コンゴ民主共和国,dr-congo,ウズベキスタン,uzbekistan,アトランタスタジアム,3,1,,,ヨアヌ・ウィサ,コンゴ民主共和国,,2026/6/28
WC-2026-MD071,algeria-vs-austria,WC,2026,MD071,Group-Phase,J,第３節,6/28(日)11:00,アルジェリア,algeria,オーストリア,austria,カンザスシティースタジアム,3,3,,,リヤド・マフレズ,アルジェリア,,2026/6/28
WC-2026-MD072,jordan-vs-argentina,WC,2026,MD072,Group-Phase,J,第３節,6/28(日)11:00,ヨルダン,jordan,アルゼンチン,argentina,ダラススタジアム,1,3,,,ジオヴァニ・ロ・チェルソ,アルゼンチン,,2026/6/28
WC-2026-MD073,south-africa-vs-canada,WC,2026,MD073,Round32,,,6/29(月)04:00,南アフリカ共和国,south-africa,カナダ,canada,ロサンゼルススタジアム,0,1,,,ステファン・エウスタキオ,カナダ,A2 | 南アフリカ共和国 vs B2 | カナダ,2026/6/29
WC-2026-MD074,brazil-vs-japan,WC,2026,MD074,Round32,,,6/30(火)02:00,ブラジル,brazil,日本,japan,ヒューストンスタジアム,2,1,,,カゼミーロ,ブラジル,C1 | ブラジル vs F2 | 日本,2026/6/30
WC-2026-MD075,germany-vs-paraguay,WC,2026,MD075,Round32,,,6/30(火)05:30,ドイツ,germany,パラグアイ,paraguay,ボストンスタジアム,1,1,3,4,オーランド・ギル,パラグアイ,E1 | ドイツ vs ABC/D3/F | パラグアイ,2026/6/30
WC-2026-MD076,netherlands-vs-morocco,WC,2026,MD076,Round32,,,6/30(火)10:00,オランダ,netherlands,モロッコ,morocco,エスタディオ・モンテレイ,1,1,2,3,イッサ・ディオプ,モロッコ,F1 | オランダ vs C2 | モロッコ,2026/6/30
WC-2026-MD077,cote-divoire-vs-norway,WC,2026,MD077,Round32,,,7/1(水)02:00,コートジボワール,,ノルウェー,,ダラススタジアム,1,2,,,アントニオ・ヌサ,ノルウェー,E2 | コートジボワール vs I2 | ノルウェー,2026/7/1
